"Unique Line ID","Fiscal Year Ending","County","County Name","Public Safety & Legal Services","Physical Health & Social Services","Mental Health MR, DD","County Environment & Education","Roads & Transportation","Government Services to Residents","Administration","Nonprogram Current","Debt Service","Capital Projects","Sub-Total Expenditures","Operating Transfers Out","Refunded Debt/Escrow","Total Expenditures","Increase (Decrease) in Reserves","Total Ending Fund Balance","Total Requirements","Primary County Coordinates"
"2010_93_WAYNE_EXPEND_SA","6/30/2010","93","WAYNE","$1,055,840","$755,445","$646,441","$514,419","$2,638,431","$265,664","$794,408","$33,750","$416,630","$401,611","$7,522,639","$490,644","$0","$8,013,283","$0","$2,106,536","$10,119,819",
"2018_37_GREENE_EXPEND_SA","6/30/2018","37","GREENE","$1,946,626","$523,425","$379,399","$681,166","$5,227,239","$378,633","$1,722,171","$260,000","$0","$775,286","$11,893,945","$1,537,500","$0","$13,431,445","$0","$3,477,683","$16,909,128",
"2011_26_DAVIS_EXPEND_SA","6/30/2011","26","DAVIS","$1,036,996","$293,416","$634,644","$287,907","$2,763,606","$345,030","$865,837","$20,000","$0","$135,000","$6,382,436","$630,301","$0","$7,012,737","$0","$3,158,831","$10,171,568",
"2013_47_IDA_EXPEND_SA","6/30/2013","47","IDA","$757,006","$321,260","$841,902","$374,936","$3,085,340","$252,370","$711,704","$0","$0","$351,000","$6,695,518","$953,869","$0","$7,649,387","$0","$2,443,135","$10,092,522",
"2020_27_DECATUR_EXPEND_SA","6/30/2020","27","DECATUR","$1,738,009","$730,004","$320,068","$548,999","$3,727,711","$381,515","$1,049,446","$0","$323,162","$140,000","$8,958,914","$586,241","$0","$9,545,155","$0","$2,942,155","$12,487,310",
"2014_27_DECATUR_EXPEND_SA","6/30/2014","27","DECATUR","$1,049,718","$1,360,903","$634,949","$386,576","$2,983,291","$307,825","$624,361","$0","$0","$216,000","$7,563,623","$464,484","$0","$8,028,107","$0","$1,957,770","$9,985,877",
"2012_10_BUCHANAN_EXPEND_SA","6/30/2012","10","BUCHANAN","$2,973,593","$575,686","$3,327,309","$1,210,816","$6,106,300","$732,806","$1,374,269","$52,555","$374,563","$752,000","$17,479,897","$2,028,477","$0","$19,508,374","$0","$2,923,131","$22,431,505",
"2012_59_LUCAS_EXPEND_SA","6/30/2012","59","LUCAS","$1,271,609","$704,006","$1,009,967","$202,566","$3,039,570","$297,582","$970,857","$0","$42,500","$893,000","$8,431,657","$780,981","$0","$9,212,638","$0","$529,597","$9,742,235",
"2013_11_BUENA VISTA_EXPEND_SA","6/30/2013","11","BUENA VISTA","$3,309,971","$1,250,034","$1,837,947","$705,058","$4,395,335","$710,888","$1,517,778","$5,400","$890,440","$1,995,317","$16,618,168","$2,208,423","$0","$18,826,591","$0","$5,320,234","$24,146,825",
"2006_27_DECATUR_EXPEND_SA","6/30/2006","27","DECATUR","$771,069","$449,029","$1,095,794","$244,845","$2,703,591","$350,655","$568,091","$0","$75,000","$297,000","$6,555,074","$376,660",,"$6,931,734","$0","$1,325,138","$8,256,872",
"2008_48_IOWA_EXPEND_SA","6/30/2008","48","IOWA","$2,432,140","$897,074","$1,484,405","$877,473","$4,554,425","$491,560","$1,463,002","$24,120","$607,416","$1,976,000","$14,807,615","$1,276,500","$0","$16,084,115","$0","$3,887,420","$19,971,535",
"2023_45_HOWARD_EXPEND_SA","6/30/2023","45","HOWARD","$2,557,192","$486,079","$0","$2,779,663","$6,389,254","$589,165","$1,528,441","$5,000","$2,513,133","$2,429,552","$19,277,479","$2,401,019","$0","$21,678,498","$0","$3,591,806","$25,270,304",
"2018_27_DECATUR_EXPEND_SA","6/30/2018","27","DECATUR","$1,525,294","$671,418","$415,939","$559,130","$3,259,871","$350,473","$882,816","$0","$324,796","$345,000","$8,334,737","$490,000","$0","$8,824,737","$0","$2,037,499","$10,862,236",
"2017_92_WASHINGTON_EXPEND_SA","6/30/2017","92","WASHINGTON","$4,975,701","$2,362,902","$772,450","$1,101,794","$6,337,111","$782,899","$2,234,785","$20,000","$2,528,655","$1,498,790","$22,615,087","$2,841,510","$0","$25,456,597","$0","$3,275,193","$28,731,790",
"2020_93_WAYNE_EXPEND_SA","6/30/2020","93","WAYNE","$2,012,379","$1,053,671","$315,489","$385,723","$4,099,400","$305,370","$1,005,348","$20,000","$267,154","$490,000","$9,954,534","$693,313","$0","$10,647,847","$0","$3,881,157","$14,529,004",
"2019_70_MUSCATINE_EXPEND_SA","6/30/2019","70","MUSCATINE","$11,411,403","$1,180,132","$1,693,732","$1,493,315","$7,119,000","$902,756","$3,281,761","$0","$1,996,875","$4,330,000","$33,408,974","$3,174,355","$0","$36,583,329","$0","$12,370,711","$48,954,040",
"2023_51_JEFFERSON_EXPEND_SA","6/30/2023","51","JEFFERSON","$4,294,114","$882,456","$0","$824,667","$5,385,588","$713,592","$5,123,790","$0","$853,140","$2,076,025","$20,153,372","$1,200,000","$0","$21,353,372","$0","$5,409,133","$26,762,505",
"2014_44_HENRY_EXPEND_SA","6/30/2014","44","HENRY","$3,388,304","$984,910","$781,160","$1,023,343","$4,514,500","$638,157","$1,413,187","$53,500","$233,100","$1,143,990","$14,174,151","$1,157,107","$0","$15,331,258","$0","$5,118,286","$20,449,544",
"2008_61_MADISON_EXPEND_SA","6/30/2008","61","MADISON","$1,955,928","$533,503","$1,233,280","$562,011","$3,743,425","$404,366","$902,925","$0","$180,806","$78,835","$9,595,079","$1,006,015","$0","$10,601,094","$0","$2,753,133","$13,354,227",
"2017_4_APPANOOSE_EXPEND_SA","6/30/2017","4","APPANOOSE","$2,525,860","$904,522","$367,203","$889,103","$3,517,000","$553,290","$1,017,033","$0","$155,773","$912,000","$10,841,784","$678,237","$0","$11,520,021","$0","$5,256,212","$16,776,233",
"2025_13_CALHOUN_EXPEND_SA","6/30/2025","13","CALHOUN","$4,387,629","$1,471,825","$0","$1,844,625","$8,258,180","$761,815","$2,318,321","$182,378","$0","$2,580,000","$21,804,773","$2,270,641","$0","$24,075,414","$0","$8,036,711","$32,112,125",
"2026_48_IOWA_EXPEND_SA","6/30/2026","48","IOWA","$8,609,192","$2,120,342","$0","$1,285,123","$8,493,499","$974,692","$2,508,050","$93,960","$1,454,594","$4,593,400","$30,132,852","$1,326,500","$0","$31,459,352","$0","$9,707,911","$41,167,263",
"2006_98_WORTH_EXPEND_SA","6/30/2006","98","WORTH","$1,242,986","$991,738","$877,000","$686,561","$2,135,000","$281,829","$753,692","$0","$204,845","$321,535","$7,495,186","$680,000",,"$8,175,186","$0","$2,442,029","$10,617,215",
"2019_77_POLK_EXPEND_SA","6/30/2019","77","POLK","$78,615,198","$41,164,083","$23,290,633","$14,926,953","$11,301,446","$8,205,464","$34,802,429","$0","$19,017,413","$36,588,687","$267,912,306","$17,881,780","$0","$285,794,086","$0","$103,191,394","$388,985,480",
"2015_70_MUSCATINE_EXPEND_SA","6/30/2015","70","MUSCATINE","$9,215,377","$1,319,995","$2,933,009","$1,167,306","$6,095,000","$781,309","$2,922,082","$0","$1,820,750","$3,466,000","$29,720,828","$1,609,500","$0","$31,330,328","$0","$8,119,204","$39,449,532",
"2016_44_HENRY_EXPEND_SA","6/30/2016","44","HENRY","$3,348,866","$936,600","$2,246,892","$1,049,629","$4,495,140","$668,106","$1,446,813","$58,500","$233,500","$1,178,000","$15,662,046","$1,373,344","$0","$17,035,390","$0","$3,625,578","$20,660,968",
"2014_59_LUCAS_EXPEND_SA","6/30/2014","59","LUCAS","$1,027,154","$734,644","$486,279","$237,278","$3,317,104","$308,913","$910,792","$0","$265,199","$651,800","$7,939,163","$608,100","$0","$8,547,263","$0","$721,796","$9,269,059",
"2010_48_IOWA_EXPEND_SA","6/30/2010","48","IOWA","$2,686,170","$931,357","$1,398,878","$1,110,043","$5,473,109","$489,270","$1,573,541","$67,460","$637,549","$1,542,248","$15,909,625","$1,519,476","$0","$17,429,101","$0","$3,454,904","$20,884,005",
"2009_65_MILLS_EXPEND_SA","6/30/2009","65","MILLS","$2,297,260","$1,768,598","$1,660,692","$755,200","$4,580,600","$475,481","$1,179,114","$0","$0","$510,000","$13,226,945","$1,400,000","$0","$14,626,945","$0","$4,941,498","$19,568,443",
"2006_59_LUCAS_EXPEND_SA","6/30/2006","59","LUCAS","$806,582","$551,096","$1,073,245","$224,083","$2,871,492","$347,324","$792,312","$0","$61,865","$2,414,000","$9,141,999","$494,754",,"$9,636,753","$0","$453,191","$10,089,944",
"2020_61_MADISON_EXPEND_SA","6/30/2020","61","MADISON","$3,429,597","$803,226","$370,900","$959,674","$6,393,776","$687,069","$1,621,380","$0","$135,522","$9,907,851","$24,308,995","$1,892,354","$0","$26,201,349","$0","$3,978,659","$30,180,008",
"2024_42_HARDIN_EXPEND_SA","6/30/2024","42","HARDIN","$6,014,645","$618,800","$0","$1,721,871","$13,507,000","$865,746","$4,171,213","$331,500","$1,463,742","$848,500","$29,543,017","$2,982,685","$0","$32,525,702","$0","$6,624,240","$39,149,942",
"2013_26_DAVIS_EXPEND_SA","6/30/2013","26","DAVIS","$1,097,388","$341,002","$684,432","$316,938","$3,059,420","$361,715","$879,917","$50,000","$176,000","$110,000","$7,076,812","$839,125","$0","$7,915,937","$0","$2,786,705","$10,702,642",
"2014_12_BUTLER_EXPEND_SA","6/30/2014","12","BUTLER","$2,181,267","$1,398,725","$19,015,413","$890,897","$4,945,200","$532,345","$1,696,912","$230,000","$495,800","$1,299,000","$32,685,559","$2,287,500","$0","$34,973,059","$0","$11,553,362","$46,526,421",
"2010_65_MILLS_EXPEND_SA","6/30/2010","65","MILLS","$2,417,392","$1,783,924","$1,750,649","$829,187","$4,639,992","$500,149","$1,471,757","$0","$0","$385,000","$13,778,050","$1,500,000","$0","$15,278,050","$0","$4,567,343","$19,845,393",
"2023_19_CHICKASAW_EXPEND_SA","6/30/2023","19","CHICKASAW","$2,631,327","$1,622,989","$0","$700,272","$6,764,223","$553,321","$1,754,373","$5,000","$478,060","$1,396,694","$15,906,259","$2,326,061","$0","$18,232,320","$0","$6,808,854","$25,041,174",
"2011_45_HOWARD_EXPEND_SA","6/30/2011","45","HOWARD","$1,327,125","$516,432","$1,295,832","$1,678,970","$3,375,388","$359,003","$936,672","$1,000","$108,912","$96,522","$9,695,856","$966,711","$0","$10,662,567","$0","$2,456,063","$13,118,630",
"2013_62_MAHASKA_EXPEND_SA","6/30/2013","62","MAHASKA","$3,029,634","$760,057","$2,729,603","$944,881","$5,005,000","$635,992","$1,354,490","$955,000","$8,490","$160,000","$15,583,147","$1,863,699","$0","$17,446,846","$0","$6,897,283","$24,344,129",
"2024_12_BUTLER_EXPEND_SA","6/30/2024","12","BUTLER","$3,268,441","$1,665,236","$0","$2,512,103","$6,916,500","$808,584","$2,546,254","$2,000","$1,460,963","$6,071,500","$25,251,581","$6,275,470","$0","$31,527,051","$0","$9,124,297","$40,651,348",
"2018_93_WAYNE_EXPEND_SA","6/30/2018","93","WAYNE","$1,729,099","$913,676","$512,870","$459,857","$3,460,150","$282,435","$960,897","$25,000","$268,282","$510,000","$9,122,266","$517,010","$0","$9,639,276","$0","$4,200,251","$13,839,527",
"2026_91_WARREN_EXPEND_SA","6/30/2026","91","WARREN","$11,433,415","$3,306,926","$0","$3,683,348","$11,967,653","$1,994,166","$5,857,287","$0","$3,340,000","$2,277,659","$43,860,454","$3,955,000","$0","$47,815,454","$0","$16,176,381","$63,991,835",
"2015_98_WORTH_EXPEND_SA","6/30/2015","98","WORTH","$2,202,344","$1,113,893","$388,498","$1,007,132","$3,835,000","$402,763","$1,427,823","$0","$1,985,788","$2,067,793","$14,431,034","$1,070,703","$0","$15,501,737","$0","$3,023,485","$18,525,222",
"2020_30_DICKINSON_EXPEND_SA","6/30/2020","30","DICKINSON","$2,919,126","$596,484","$411,962","$4,696,257","$4,897,040","$917,230","$2,633,846","$138,200","$1,339,237","$2,825,000","$21,374,382","$3,799,914","$0","$25,174,296","$0","$8,460,614","$33,634,910",
"2006_91_WARREN_EXPEND_SA","6/30/2006","91","WARREN","$3,660,440","$2,048,393","$2,587,629","$815,804","$5,079,920","$574,409","$1,994,255","$0","$617,873","$1,098,050","$18,476,773","$2,183,020",,"$20,659,793","$0","$3,168,711","$23,828,504",
"2005_21_CLAY_EXPEND_SA","6/30/2005","21","CLAY","$1,899,338","$370,727","$1,409,407","$820,404","$3,453,600","$334,416","$1,297,840","$16,761","$260,535","$1,110,720","$10,973,748","$1,137,816",,"$12,111,564","$0","$2,799,484","$14,911,048",
"2016_59_LUCAS_EXPEND_SA","6/30/2016","59","LUCAS","$1,169,609","$734,157","$553,488","$365,131","$3,820,396","$301,994","$1,032,709","$0","$286,814","$1,019,900","$9,284,198","$574,531","$0","$9,858,729","$0","$1,183,178","$11,041,907",
"2017_60_LYON_EXPEND_SA","6/30/2017","60","LYON","$3,284,897","$665,700","$461,700","$927,115","$5,475,657","$525,871","$1,271,681","$72,520","$247,680","$4,380,860","$17,313,681","$2,726,041","$0","$20,039,722","$0","$6,681,415","$26,721,137",
"2025_70_MUSCATINE_EXPEND_SA","6/30/2025","70","MUSCATINE","$15,547,680","$2,014,534","$0","$1,869,004","$8,850,002","$1,082,805","$4,835,198","$0","$1,785,353","$24,383,755","$60,368,331","$3,139,618","$0","$63,507,949","$0","$15,508,551","$79,016,500",
"2018_33_FAYETTE_EXPEND_SA","6/30/2018","33","FAYETTE","$3,954,323","$534,101","$1,250,820","$1,829,022","$6,211,731","$822,434","$1,735,885","$27,400","$435,000","$4,046,850","$20,847,566","$2,057,706","$0","$22,905,272","$0","$3,132,386","$26,037,658",
"2022_22_CLAYTON_EXPEND_SA","6/30/2022","22","CLAYTON","$3,493,748","$588,530","$526,470","$1,398,434","$7,377,452","$777,423","$1,962,946","$1,000","$92,300","$1,232,500","$17,450,803","$2,000,000","$0","$19,450,803","$0","$7,634,477","$27,085,280",
"2009_26_DAVIS_EXPEND_SA","6/30/2009","26","DAVIS","$1,018,957","$311,990","$784,160","$315,326","$2,879,122","$359,548","$887,285","$20,000","$0","$0","$6,576,388","$586,883","$0","$7,163,271","$0","$2,221,379","$9,384,650",
"2013_79_POWESHIEK_EXPEND_SA","6/30/2013","79","POWESHIEK","$2,880,437","$386,406","$1,556,599","$494,990","$5,579,051","$734,591","$1,234,978","$163,728","$603,308","$820,500","$14,454,588","$2,281,775","$0","$16,736,363","$0","$4,537,980","$21,274,343",
"2024_10_BUCHANAN_EXPEND_SA","6/30/2024","10","BUCHANAN","$5,365,439","$1,419,715","$0","$1,990,079","$9,664,700","$977,878","$2,485,434","$57,800","$913,188","$979,000","$23,853,233","$2,725,000","$0","$26,578,233","$0","$8,456,235","$35,034,468",
"2019_94_WEBSTER_EXPEND_SA","6/30/2019","94","WEBSTER","$5,689,462","$4,498,451","$2,166,131","$2,173,472","$9,000,000","$1,073,187","$3,202,861","$250,000","$1,897,328","$4,825,000","$34,775,892","$6,458,555","$0","$41,234,447","$0","$10,243,607","$51,478,054",
"2005_47_IDA_EXPEND_SA","6/30/2005","47","IDA","$524,435","$451,171","$598,262","$436,040","$2,111,000","$246,504","$669,789","$0","$0","$237,000","$5,274,201","$652,431",,"$5,926,632","$0","$1,628,196","$7,554,828",
"2021_26_DAVIS_EXPEND_SA","6/30/2021","26","DAVIS","$1,977,000","$385,933","$417,317","$468,412","$4,900,276","$440,131","$1,119,183","$30,539","$400,605","$2,400,000","$12,539,396","$1,114,170","$0","$13,653,566","$0","$2,043,735","$15,697,301",
"2014_79_POWESHIEK_EXPEND_SA","6/30/2014","79","POWESHIEK","$2,940,278","$394,231","$1,265,798","$478,846","$5,783,638","$718,535","$1,256,095","$211,222","$605,603","$991,500","$14,645,746","$2,426,833","$0","$17,072,579","$0","$4,705,941","$21,778,520",
"2005_94_WEBSTER_EXPEND_SA","6/30/2005","94","WEBSTER","$4,236,243","$2,068,776","$4,300,780","$858,687","$4,950,000","$615,228","$2,232,930","$90,000","$325,612","$3,100,000","$22,778,256","$2,290,400",,"$25,068,656","$0","$6,798,420","$31,867,076",
"2011_13_CALHOUN_EXPEND_SA","6/30/2011","13","CALHOUN","$1,934,959","$2,634,445","$1,090,000","$797,282","$4,037,290","$510,487","$1,101,068","$64,725","$0","$866,000","$13,036,256","$1,424,719","$0","$14,460,975","$0","$2,928,567","$17,389,542",
"2018_61_MADISON_EXPEND_SA","6/30/2018","61","MADISON","$3,096,389","$854,078","$351,216","$834,266","$6,119,428","$473,683","$1,309,921","$0","$138,001","$1,760,577","$14,937,559","$1,855,246","$0","$16,792,805","$0","$3,341,382","$20,134,187",
"2020_88_UNION_EXPEND_SA","6/30/2020","88","UNION","$1,989,033","$469,264","$495,156","$648,398","$3,864,009","$550,243","$1,249,389","$0","$1,931,723","$5,109,440","$16,306,655","$1,001,273","$0","$17,307,928","$0","$5,110,896","$22,418,824",
"2015_24_CRAWFORD_EXPEND_SA","6/30/2015","24","CRAWFORD","$2,122,940","$2,910,449","$919,039","$1,200,820","$6,600,400","$654,170","$1,299,640","$0","$247,000","$293,650","$16,248,108","$2,965,000","$0","$19,213,108","$0","$6,554,443","$25,767,551",
"2007_87_TAYLOR_EXPEND_SA","6/30/2007","87","TAYLOR","$722,337","$917,156","$552,203","$254,281","$2,478,000","$276,191","$580,007","$0","$89,582","$400,000","$6,269,757","$526,371",,"$6,796,128","$0","$1,025,536","$7,821,664",
"2012_78_POTTAWATTAMIE_EXPEND_SA","6/30/2012","78","POTTAWATTAMIE","$20,572,867","$3,622,130","$11,004,088","$7,598,172","$11,685,390","$2,047,525","$5,944,028","$0","$3,825,448","$6,598,395","$72,898,043","$7,064,851","$0","$79,962,894","$0","$16,155,935","$96,118,829",
"2022_59_LUCAS_EXPEND_SA","6/30/2022","59","LUCAS","$1,375,626","$620,804","$336,518","$463,435","$4,344,504","$383,447","$1,415,322","$0","$0","$504,000","$9,443,656","$803,106","$0","$10,246,762","$0","$1,220,587","$11,467,349",
"2019_13_CALHOUN_EXPEND_SA","6/30/2019","13","CALHOUN","$3,205,930","$1,628,296","$374,059","$1,095,837","$5,481,150","$614,281","$1,577,597","$305,300","$0","$953,500","$15,235,950","$1,546,145","$0","$16,782,095","$0","$7,142,641","$23,924,736",
"2013_90_WAPELLO_EXPEND_SA","6/30/2013","90","WAPELLO","$3,686,830","$1,624,913","$5,812,104","$931,141","$3,952,050","$717,839","$2,865,901","$132,933","$311,860","$2,916,500","$22,952,071","$1,300,000","$0","$24,252,071","$0","$7,408,623","$31,660,694",
"2009_21_CLAY_EXPEND_SA","6/30/2009","21","CLAY","$2,240,532","$498,103","$1,664,042","$1,005,674","$4,399,306","$441,800","$1,617,747","$0","$403,400","$1,622,000","$13,892,604","$1,244,138","$0","$15,136,742","$0","$4,773,585","$19,910,327",
"2016_27_DECATUR_EXPEND_SA","6/30/2016","27","DECATUR","$1,283,470","$794,310","$1,242,654","$427,914","$2,781,871","$320,962","$693,930","$0","$319,978","$110,000","$7,975,089","$464,484","$0","$8,439,573","$0","$1,412,367","$9,851,940",
"2008_29_DES MOINES_EXPEND_SA","6/30/2008","29","DES MOINES","$5,454,534","$2,543,616","$4,681,502","$1,617,531","$3,857,432","$773,110","$4,986,052","$0","$196,570","$3,648,170","$27,758,517","$1,531,690","$0","$29,290,207","$0","$3,894,352","$33,184,559",
"2024_51_JEFFERSON_EXPEND_SA","6/30/2024","51","JEFFERSON","$5,232,958","$863,778","$0","$811,398","$4,225,000","$752,686","$3,635,043","$0","$853,140","$675,663","$17,049,666","$1,120,000","$0","$18,169,666","$0","$4,529,736","$22,699,402",
"2006_54_KEOKUK_EXPEND_SA","6/30/2006","54","KEOKUK","$882,617","$664,265","$1,007,371","$451,075","$4,296,200","$492,441","$931,219","$1,000","$5,900","$390,000","$9,122,088","$870,000",,"$9,992,088","$0","$1,774,057","$11,766,145",
"2020_84_SIOUX_EXPEND_SA","6/30/2020","84","SIOUX","$4,884,571","$1,282,520","$787,140","$1,868,101","$7,628,220","$1,150,032","$2,755,417","$242,600","$1,323,360","$9,079,750","$31,001,711","$4,550,721","$0","$35,552,432","$0","$14,835,492","$50,387,924",
"2007_31_DUBUQUE_EXPEND_SA","6/30/2007","31","DUBUQUE","$10,422,684","$12,542,323","$8,613,962","$2,530,884","$5,885,171","$1,325,101","$2,806,082","$108,750","$496,800","$3,484,791","$48,216,548","$5,991,152",,"$54,207,700","$0","$2,864,845","$57,072,545",
"2026_80_RINGGOLD_EXPEND_SA","6/30/2026","80","RINGGOLD","$1,950,011","$959,694","$0","$477,408","$4,841,643","$345,442","$1,311,617","$0","$187,200","$546,000","$10,619,015","$920,000","$0","$11,539,015","$0","$5,328,907","$16,867,922",
"2025_45_HOWARD_EXPEND_SA","6/30/2025","45","HOWARD","$2,670,150","$421,232","$0","$1,693,187","$7,782,007","$569,239","$1,869,489","$5,000","$1,372,795","$994,792","$17,377,891","$2,657,902","$0","$20,035,793","$0","$6,103,172","$26,138,965",
"2021_58_LOUISA_EXPEND_SA","6/30/2021","58","LOUISA","$3,384,337","$802,866","$437,312","$1,142,837","$4,090,440","$420,744","$1,466,285","$0","$339,790","$2,005,680","$14,090,291","$2,103,970","$0","$16,194,261","$0","$3,417,120","$19,611,381",
"2007_92_WASHINGTON_EXPEND_SA","6/30/2007","92","WASHINGTON","$2,886,047","$2,325,364","$1,699,500","$566,595","$4,317,000","$594,358","$1,502,018","$1,867,300","$975,459","$6,927,200","$23,660,841","$2,606,356",,"$26,267,197","$0","$2,956,549","$29,223,746",
"2022_91_WARREN_EXPEND_SA","6/30/2022","91","WARREN","$8,227,270","$2,820,277","$767,100","$1,689,490","$9,472,725","$1,018,651","$3,622,300","$0","$3,244,325","$19,113,621","$49,975,759","$4,825,000","$0","$54,800,759","$0","$11,934,092","$66,734,851",
"2009_53_JONES_EXPEND_SA","6/30/2009","53","JONES","$2,055,261","$855,324","$2,554,384","$1,168,798","$5,033,997","$572,244","$1,352,507","$147,150","$33,896","$2,146,000","$15,919,561","$1,576,500","$0","$17,496,061","$0","$2,588,064","$20,084,125",
"2023_34_FLOYD_EXPEND_SA","6/30/2023","34","FLOYD","$3,826,654","$1,598,047","$0","$870,828","$7,602,902","$754,860","$2,165,871","$0","$1,699,175","$1,625,000","$20,143,337","$1,600,855","$0","$21,744,192","$0","$6,567,571","$28,311,763",
"2020_10_BUCHANAN_EXPEND_SA","6/30/2020","10","BUCHANAN","$4,130,363","$704,124","$1,728,181","$1,295,774","$7,478,600","$869,252","$2,192,708","$64,175","$542,529","$1,061,600","$20,067,306","$2,389,412","$0","$22,456,718","$0","$1,674,845","$24,131,563",
"2005_58_LOUISA_EXPEND_SA","6/30/2005","58","LOUISA","$1,550,259","$566,961","$1,219,288","$441,751","$2,534,900","$272,485","$792,205","$0","$56,440","$941,039","$8,375,328","$1,133,761",,"$9,509,089","$0","$2,029,599","$11,538,688",
"2008_20_CLARKE_EXPEND_SA","6/30/2008","20","CLARKE","$1,512,770","$1,029,310","$974,836","$282,566","$2,393,250","$336,187","$770,968","$0","$587,200","$550,800","$8,437,887","$863,441","$0","$9,301,328","$0","$3,850,953","$13,152,281",
"2018_76_POCAHONTAS_EXPEND_SA","6/30/2018","76","POCAHONTAS","$2,242,156","$1,660,725","$442,305","$1,176,607","$5,148,461","$403,095","$1,626,259","$11,385","$0","$3,542,004","$16,252,997","$1,350,000","$0","$17,602,997","$0","$3,706,814","$21,309,811",
"2024_83_SHELBY_EXPEND_SA","6/30/2024","83","SHELBY","$3,406,539","$731,211","$0","$571,541","$7,190,944","$513,725","$1,891,285","$32,700","$335,600","$807,500","$15,481,045","$3,801,721","$0","$19,282,766","$0","$4,359,353","$23,642,119",
"2005_79_POWESHIEK_EXPEND_SA","6/30/2005","79","POWESHIEK","$1,450,473","$406,502","$1,364,713","$1,443,405","$3,905,852","$462,363","$998,665","$109,804","$43,237","$48,500","$10,233,514","$1,354,566",,"$11,588,080","$0","$3,586,301","$15,174,381",
"2023_94_WEBSTER_EXPEND_SA","6/30/2023","94","WEBSTER","$9,267,925","$5,633,844","$0","$2,942,007","$10,065,938","$1,166,199","$3,831,111","$0","$3,070,370","$8,243,155","$44,220,549","$7,047,492","$0","$51,268,041","$0","$23,827,135","$75,095,176",
"2022_96_WINNESHIEK_EXPEND_SA","6/30/2022","96","WINNESHIEK","$4,668,090","$1,615,466","$599,730","$3,038,172","$7,415,700","$756,109","$2,948,238","$4,500","$0","$2,805,000","$23,851,005","$2,795,191","$0","$26,646,196","$0","$7,465,695","$34,111,891",
"2016_12_BUTLER_EXPEND_SA","6/30/2016","12","BUTLER","$2,365,119","$1,469,280","$589,899","$1,199,248","$5,185,000","$645,482","$1,842,816","$2,500","$601,102","$1,895,120","$15,795,566","$2,174,715","$0","$17,970,281","$0","$6,309,200","$24,279,481",
"2007_64_MARSHALL_EXPEND_SA","6/30/2007","64","MARSHALL","$6,241,474","$946,264","$3,288,630","$815,885","$5,432,800","$850,912","$2,481,107","$0","$701,783","$1,582,325","$22,341,180","$1,785,262",,"$24,126,442","$0","$2,843,609","$26,970,051",
"2017_45_HOWARD_EXPEND_SA","6/30/2017","45","HOWARD","$1,846,017","$525,330","$629,403","$2,117,357","$4,369,706","$440,160","$1,174,232","$5,000","$1,567,211","$632,761","$13,307,177","$1,665,965","$0","$14,973,142","$0","$3,605,924","$18,579,066",
"2023_66_MITCHELL_EXPEND_SA","6/30/2023","66","MITCHELL","$2,433,006","$1,259,724","$0","$1,731,673","$5,465,000","$582,607","$2,296,060","$0","$4,153,471","$1,650,000","$19,571,541","$1,979,942","$0","$21,551,483","$0","$3,956,765","$25,508,248",
"2005_30_DICKINSON_EXPEND_SA","6/30/2005","30","DICKINSON","$1,745,113","$498,806","$1,430,278","$1,272,406","$2,715,200","$429,033","$1,530,438","$40,500","$1,186,201","$10,900,397","$21,748,372","$1,660,140",,"$23,408,512","$0","$9,658,941","$33,067,453",
"2025_28_DELAWARE_EXPEND_SA","6/30/2025","28","DELAWARE","$5,049,897","$1,002,966","$0","$1,599,058","$9,416,661","$2,117,148","$3,751,246","$51,800","$639,000","$1,760,500","$25,388,276","$3,170,000","$0","$28,558,276","$0","$14,134,512","$42,692,788",
"2007_19_CHICKASAW_EXPEND_SA","6/30/2007","19","CHICKASAW","$1,248,510","$1,322,639","$1,045,781","$601,977","$3,428,300","$361,634","$1,021,428","$0","$0","$764,300","$9,794,569","$2,291,133",,"$12,085,702","$0","$4,115,865","$16,201,567",
"2020_5_AUDUBON_EXPEND_SA","6/30/2020","5","AUDUBON","$1,583,545","$747,780","$172,655","$791,897","$4,314,115","$492,917","$1,063,409","$100","$356,500","$108,995","$9,631,913","$1,156,590","$0","$10,788,503","$0","$2,734,129","$13,522,632",
"2019_30_DICKINSON_EXPEND_SA","6/30/2019","30","DICKINSON","$2,901,759","$568,558","$319,868","$4,166,752","$4,598,580","$912,902","$2,506,702","$147,600","$1,416,492","$2,750,700","$20,289,913","$3,570,774","$0","$23,860,687","$0","$7,635,958","$31,496,645",
"2009_80_RINGGOLD_EXPEND_SA","6/30/2009","80","RINGGOLD","$942,965","$752,127","$989,511","$287,065","$2,582,896","$261,806","$1,321,863","$12,500","$238,681","$2,880,000","$10,269,414","$586,286","$0","$10,855,700","$0","$397,847","$11,253,547",
"2014_34_FLOYD_EXPEND_SA","6/30/2014","34","FLOYD","$2,287,215","$1,730,271","$878,330","$692,721","$4,996,600","$612,601","$1,186,920","$0","$381,228","$1,217,000","$13,982,886","$1,496,733","$0","$15,479,619","$0","$6,316,379","$21,795,998",
"2024_66_MITCHELL_EXPEND_SA","6/30/2024","66","MITCHELL","$2,578,744","$1,381,829","$0","$2,757,136","$6,224,422","$617,309","$2,097,478","$87,000","$4,725,644","$750,000","$21,219,562","$1,957,070","$0","$23,176,632","$0","$5,960,064","$29,136,696",
